都道府県コード,都道府県名,計,年月日
JP-32,島根県,94,2014-05-15
JP-33,岡山県,1103,2014-05-15
JP-34,広島県,465,2014-05-15
JP-35,山口県,144,2014-05-15
JP-36,徳島県,67,2014-05-15
JP-37,香川県,92,2014-05-15
JP-38,愛媛県,185,2014-05-15
JP-39,高知県,105,2014-05-15
JP-40,福岡県,694,2014-05-15
JP-41,佐賀県,180,2014-05-15
JP-42,長崎県,135,2014-05-15
JP-43,熊本県,360,2014-05-15
JP-44,大分県,238,2014-05-15
JP-45,宮崎県,237,2014-05-15
JP-46,鹿児島県,218,2014-05-15
JP-47,沖縄県,935,2014-05-15
JP-01,北海道,2627,2014-06-12
JP-02,青森県,627,2014-06-12
JP-03,岩手県,33221,2014-06-12
JP-04,宮城県,81923,2014-06-12
JP-05,秋田県,1042,2014-06-12
JP-06,山形県,5276,2014-06-12
JP-07,福島県,82657,2014-06-12
JP-08,茨城県,4471,2014-06-12
JP-09,栃木県,2991,2014-06-12
JP-10,群馬県,1425,2014-06-12
JP-11,埼玉県,2640,2014-06-12
JP-12,千葉県,3924,2014-06-12
JP-13,東京都,7798,2014-06-12
JP-14,神奈川県,2204,2014-06-12
JP-15,新潟県,4342,2014-06-12
JP-16,富山県,250,2014-06-12
JP-17,石川県,363,2014-06-12
JP-18,福井県,255,2014-06-12
JP-19,山梨県,713,2014-06-12
JP-20,長野県,1099,2014-06-12
JP-21,岐阜県,316,2014-06-12
JP-22,静岡県,1016,2014-06-12
JP-23,愛知県,1181,2014-06-12
JP-24,三重県,475,2014-06-12
JP-25,滋賀県,233,2014-06-12
JP-26,京都府,875,2014-06-12
JP-27,大阪府,883,2014-06-12
JP-28,兵庫県,917,2014-06-12
JP-29,奈良県,164,2014-06-12
JP-30,和歌山県,94,2014-06-12
JP-31,鳥取県,176,2014-06-12
JP-32,島根県,94,2014-06-12
JP-33,岡山県,1113,2014-06-12
JP-34,広島県,472,2014-06-12
JP-35,山口県,138,2014-06-12
JP-36,徳島県,67,2014-06-12
JP-37,香川県,92,2014-06-12
JP-38,愛媛県,185,2014-06-12
JP-39,高知県,105,2014-06-12
JP-40,福岡県,688,2014-06-12
JP-41,佐賀県,180,2014-06-12
JP-42,長崎県,135,2014-06-12
JP-43,熊本県,363,2014-06-12
JP-44,大分県,235,2014-06-12
JP-45,宮崎県,236,2014-06-12
JP-46,鹿児島県,218,2014-06-12
JP-47,沖縄県,920,2014-06-12
JP-01,北海道,2616,2014-07-10
JP-02,青森県,617,2014-07-10
JP-03,岩手県,32539,2014-07-10
JP-04,宮城県,80009,2014-07-10
JP-05,秋田県,1028,2014-07-10
JP-06,山形県,5075,2014-07-10
JP-07,福島県,81252,2014-07-10
JP-08,茨城県,4355,2014-07-10
JP-09,栃木県,2998,2014-07-10
JP-10,群馬県,1425,2014-07-10
JP-11,埼玉県,2992,2014-07-10
JP-12,千葉県,3924,2014-07-10
JP-13,東京都,7741,2014-07-10
JP-14,神奈川県,2182,2014-07-10
JP-15,新潟県,4300,2014-07-10
JP-16,富山県,250,2014-07-10
JP-17,石川県,363,2014-07-10
JP-18,福井県,255,2014-07-10
JP-19,山梨県,712,2014-07-10
JP-20,長野県,1087,2014-07-10
JP-21,岐阜県,316,2014-07-10
JP-22,静岡県,987,2014-07-10
JP-23,愛知県,1178,2014-07-10
JP-24,三重県,476,2014-07-10
JP-25,滋賀県,229,2014-07-10
JP-26,京都府,889,2014-07-10
JP-27,大阪府,881,2014-07-10
JP-28,兵庫県,922,2014-07-10
JP-29,奈良県,157,2014-07-10
JP-30,和歌山県,95,2014-07-10
JP-31,鳥取県,176,2014-07-10
JP-32,島根県,94,2014-07-10
JP-33,岡山県,1127,2014-07-10
JP-34,広島県,469,2014-07-10
JP-35,山口県,136,2014-07-10
JP-36,徳島県,67,2014-07-10
JP-37,香川県,92,2014-07-10
JP-38,愛媛県,185,2014-07-10
JP-39,高知県,105,2014-07-10
JP-40,福岡県,688,2014-07-10
JP-41,佐賀県,178,2014-07-10
JP-42,長崎県,135,2014-07-10
JP-43,熊本県,361,2014-07-10
JP-44,大分県,231,2014-07-10
JP-45,宮崎県,235,2014-07-10
JP-46,鹿児島県,215,2014-07-10
JP-47,沖縄県,889,2014-07-10
JP-01,北海道,2605,2014-08-14
JP-02,青森県,604,2014-08-14
JP-03,岩手県,32089,2014-08-14
JP-04,宮城県,78800,2014-08-14
JP-05,秋田県,1028,2014-08-14
JP-06,山形県,4913,2014-08-14
JP-07,福島県,79000,2014-08-14
JP-08,茨城県,4349,2014-08-14
JP-09,栃木県,2998,2014-08-14
JP-10,群馬県,1413,2014-08-14
JP-11,埼玉県,5639,2014-08-14
JP-12,千葉県,3916,2014-08-14
JP-13,東京都,7696,2014-08-14
JP-14,神奈川県,2154,2014-08-14
JP-15,新潟県,4275,2014-08-14
JP-16,富山県,250,2014-08-14
JP-17,石川県,363,2014-08-14
JP-18,福井県,248,2014-08-14
JP-19,山梨県,712,2014-08-14
JP-20,長野県,1085,2014-08-14
JP-21,岐阜県,313,2014-08-14
JP-22,静岡県,976,2014-08-14
JP-23,愛知県,1178,2014-08-14
JP-24,三重県,461,2014-08-14
JP-25,滋賀県,227,2014-08-14
JP-26,京都府,886,2014-08-14
JP-27,大阪府,878,2014-08-14
JP-28,兵庫県,923,2014-08-14
JP-29,奈良県,161,2014-08-14
JP-30,和歌山県,95,2014-08-14
JP-31,鳥取県,175,2014-08-14
JP-32,島根県,96,2014-08-14
JP-33,岡山県,1137,2014-08-14
JP-34,広島県,465,2014-08-14
JP-35,山口県,129,2014-08-14
JP-36,徳島県,66,2014-08-14
JP-37,香川県,91,2014-08-14
JP-38,愛媛県,185,2014-08-14
JP-39,高知県,102,2014-08-14
JP-40,福岡県,705,2014-08-14
JP-41,佐賀県,174,2014-08-14
JP-42,長崎県,135,2014-08-14
JP-43,熊本県,361,2014-08-14
JP-44,大分県,236,2014-08-14
JP-45,宮崎県,232,2014-08-14
JP-46,鹿児島県,212,2014-08-14
JP-47,沖縄県,886,2014-08-14
JP-01,北海道,2589,2014-09-11
JP-02,青森県,594,2014-09-11
JP-03,岩手県,31714,2014-09-11
JP-04,宮城県,77836,2014-09-11
JP-05,秋田県,1017,2014-09-11
JP-06,山形県,4808,2014-09-11
JP-07,福島県,78577,2014-09-11
JP-08,茨城県,4343,2014-09-11
JP-09,栃木県,2984,2014-09-11
JP-10,群馬県,1398,2014-09-11
JP-11,埼玉県,5591,2014-09-11
JP-12,千葉県,3565,2014-09-11
JP-13,東京都,7659,2014-09-11
JP-14,神奈川県,2128,2014-09-11
JP-15,新潟県,4222,2014-09-11
JP-16,富山県,250,2014-09-11
JP-17,石川県,356,2014-09-11
JP-18,福井県,248,2014-09-11
JP-19,山梨県,709,2014-09-11
JP-20,長野県,1065,2014-09-11
JP-21,岐阜県,313,2014-09-11
JP-22,静岡県,963,2014-09-11
JP-23,愛知県,1176,2014-09-11
JP-24,三重県,466,2014-09-11
JP-25,滋賀県,227,2014-09-11
JP-26,京都府,871,2014-09-11
JP-27,大阪府,865,2014-09-11
JP-28,兵庫県,911,2014-09-11
JP-29,奈良県,161,2014-09-11
JP-30,和歌山県,95,2014-09-11
JP-31,鳥取県,175,2014-09-11
JP-32,島根県,96,2014-09-11
JP-33,岡山県,1126,2014-09-11
JP-34,広島県,466,2014-09-11
JP-35,山口県,129,2014-09-11
JP-36,徳島県,66,2014-09-11
JP-37,香川県,91,2014-09-11
JP-38,愛媛県,185,2014-09-11
JP-39,高知県,96,2014-09-11
JP-40,福岡県,705,2014-09-11
JP-41,佐賀県,174,2014-09-11
JP-42,長崎県,128,2014-09-11
JP-43,熊本県,363,2014-09-11
JP-44,大分県,235,2014-09-11
JP-45,宮崎県,232,2014-09-11
JP-46,鹿児島県,204,2014-09-11
JP-47,沖縄県,868,2014-09-11
JP-01,北海道,2588,2014-10-16
JP-02,青森県,587,2014-10-16
JP-03,岩手県,31216,2014-10-16
JP-04,宮城県,76628,2014-10-16
JP-05,秋田県,1016,2014-10-16
JP-06,山形県,4728,2014-10-16
JP-07,福島県,76861,2014-10-16
JP-08,茨城県,4336,2014-10-16
JP-09,栃木県,2967,2014-10-16
JP-10,群馬県,1392,2014-10-16
JP-11,埼玉県,5562,2014-10-16
JP-12,千葉県,3550,2014-10-16
JP-13,東京都,7638,2014-10-16
JP-14,神奈川県,2122,2014-10-16
JP-15,新潟県,4196,2014-10-16
JP-16,富山県,250,2014-10-16
JP-17,石川県,347,2014-10-16
JP-18,福井県,248,2014-10-16
JP-19,山梨県,709,2014-10-16
JP-20,長野県,1065,2014-10-16
JP-21,岐阜県,313,2014-10-16
JP-22,静岡県,961,2014-10-16
JP-23,愛知県,1174,2014-10-16
JP-24,三重県,463,2014-10-16
JP-25,滋賀県,235,2014-10-16
JP-26,京都府,865,2014-10-16
JP-27,大阪府,864,2014-10-16
JP-28,兵庫県,906,2014-10-16
JP-29,奈良県,160,2014-10-16
JP-30,和歌山県,95,2014-10-16
JP-31,鳥取県,174,2014-10-16
JP-32,島根県,96,2014-10-16
JP-33,岡山県,1117,2014-10-16
JP-34,広島県,466,2014-10-16
JP-35,山口県,129,2014-10-16
JP-36,徳島県,66,2014-10-16
JP-37,香川県,91,2014-10-16
JP-38,愛媛県,182,2014-10-16
JP-39,高知県,92,2014-10-16
JP-40,福岡県,702,2014-10-16
JP-41,佐賀県,174,2014-10-16
JP-42,長崎県,127,2014-10-16
JP-43,熊本県,363,2014-10-16
JP-44,大分県,229,2014-10-16
JP-45,宮崎県,232,2014-10-16
JP-46,鹿児島県,202,2014-10-16
JP-47,沖縄県,857,2014-10-16
JP-01,北海道,2587,2014-11-13
JP-02,青森県,582,2014-11-13
JP-03,岩手県,30664,2014-11-13
JP-04,宮城県,75416,2014-11-13
JP-05,秋田県,1014,2014-11-13
JP-06,山形県,4632,2014-11-13
JP-07,福島県,75679,2014-11-13
JP-08,茨城県,4277,2014-11-13
JP-09,栃木県,2963,2014-11-13
JP-10,群馬県,1391,2014-11-13
JP-11,埼玉県,5543,2014-11-13
JP-12,千葉県,3531,2014-11-13
JP-13,東京都,7584,2014-11-13
JP-14,神奈川県,2094,2014-11-13
JP-15,新潟県,4157,2014-11-13
JP-16,富山県,250,2014-11-13
JP-17,石川県,347,2014-11-13
JP-18,福井県,248,2014-11-13
JP-19,山梨県,709,2014-11-13
JP-20,長野県,1067,2014-11-13
JP-21,岐阜県,309,2014-11-13
JP-22,静岡県,941,2014-11-13
JP-23,愛知県,1155,2014-11-13
JP-24,三重県,463,2014-11-13
JP-25,滋賀県,235,2014-11-13
JP-26,京都府,826,2014-11-13
JP-27,大阪府,863,2014-11-13
JP-28,兵庫県,910,2014-11-13
JP-29,奈良県,160,2014-11-13
JP-30,和歌山県,95,2014-11-13
JP-31,鳥取県,172,2014-11-13
JP-32,島根県,95,2014-11-13
JP-33,岡山県,1120,2014-11-13
JP-34,広島県,451,2014-11-13
JP-35,山口県,129,2014-11-13
JP-36,徳島県,66,2014-11-13
JP-37,香川県,91,2014-11-13
JP-38,愛媛県,182,2014-11-13
JP-39,高知県,92,2014-11-13
JP-40,福岡県,697,2014-11-13
JP-41,佐賀県,174,2014-11-13
JP-42,長崎県,127,2014-11-13
JP-43,熊本県,363,2014-11-13
JP-44,大分県,229,2014-11-13
JP-45,宮崎県,232,2014-11-13
JP-46,鹿児島県,205,2014-11-13
JP-47,沖縄県,840,2014-11-13
JP-01,北海道,2575,2014-12-11
JP-02,青森県,578,2014-12-11
JP-03,岩手県,30289,2014-12-11
JP-04,宮城県,73796,2014-12-11
JP-05,秋田県,1005,2014-12-11
JP-06,山形県,4537,2014-12-11
JP-07,福島県,75440,2014-12-11
JP-08,茨城県,4265,2014-12-11
JP-09,栃木県,2958,2014-12-11
JP-10,群馬県,1391,2014-12-11
JP-11,埼玉県,5650,2014-12-11
JP-12,千葉県,3516,2014-12-11
JP-13,東京都,7553,2014-12-11
JP-14,神奈川県,2063,2014-12-11
JP-15,新潟県,4113,2014-12-11
JP-16,富山県,250,2014-12-11
JP-17,石川県,334,2014-12-11
JP-18,福井県,248,2014-12-11
JP-19,山梨県,709,2014-12-11
JP-20,長野県,1073,2014-12-11
JP-21,岐阜県,309,2014-12-11
JP-22,静岡県,942,2014-12-11
JP-23,愛知県,1156,2014-12-11
JP-24,三重県,463,2014-12-11
JP-25,滋賀県,235,2014-12-11
JP-26,京都府,817,2014-12-11
JP-27,大阪府,862,2014-12-11
JP-28,兵庫県,895,2014-12-11
JP-29,奈良県,160,2014-12-11
JP-30,和歌山県,95,2014-12-11
JP-31,鳥取県,172,2014-12-11
JP-32,島根県,95,2014-12-11
JP-33,岡山県,1120,2014-12-11
JP-34,広島県,451,2014-12-11
JP-35,山口県,126,2014-12-11
JP-36,徳島県,66,2014-12-11
JP-37,香川県,91,2014-12-11
JP-38,愛媛県,182,2014-12-11
JP-39,高知県,92,2014-12-11
JP-40,福岡県,697,2014-12-11
JP-41,佐賀県,173,2014-12-11
JP-42,長崎県,127,2014-12-11
JP-43,熊本県,363,2014-12-11
JP-44,大分県,225,2014-12-11
JP-45,宮崎県,232,2014-12-11
JP-46,鹿児島県,204,2014-12-11
JP-47,沖縄県,819,2014-12-11
JP-01,北海道,2571,2015-01-15
JP-02,青森県,578,2015-01-15
JP-03,岩手県,29771,2015-01-15
JP-04,宮城県,72244,2015-01-15
JP-05,秋田県,1006,2015-01-15
JP-06,山形県,4429,2015-01-15
JP-07,福島県,74139,2015-01-15
JP-08,茨城県,4259,2015-01-15
JP-09,栃木県,2963,2015-01-15
JP-10,群馬県,1377,2015-01-15
JP-11,埼玉県,5632,2015-01-15
JP-12,千葉県,3515,2015-01-15
JP-13,東京都,7548,2015-01-15
JP-14,神奈川県,2036,2015-01-15
JP-15,新潟県,4106,2015-01-15
JP-16,富山県,250,2015-01-15
JP-17,石川県,327,2015-01-15
JP-18,福井県,248,2015-01-15
JP-19,山梨県,709,2015-01-15
JP-20,長野県,1062,2015-01-15
JP-21,岐阜県,305,2015-01-15
JP-22,静岡県,928,2015-01-15
JP-23,愛知県,1157,2015-01-15
JP-24,三重県,463,2015-01-15
JP-25,滋賀県,232,2015-01-15
JP-26,京都府,807,2015-01-15
JP-27,大阪府,862,2015-01-15
JP-28,兵庫県,890,2015-01-15
JP-29,奈良県,161,2015-01-15
JP-30,和歌山県,95,2015-01-15
JP-31,鳥取県,172,2015-01-15
JP-32,島根県,95,2015-01-15
JP-33,岡山県,1120,2015-01-15
JP-34,広島県,438,2015-01-15
JP-35,山口県,126,2015-01-15
JP-36,徳島県,66,2015-01-15
JP-37,香川県,91,2015-01-15
JP-38,愛媛県,183,2015-01-15
JP-39,高知県,86,2015-01-15
JP-40,福岡県,697,2015-01-15
JP-41,佐賀県,171,2015-01-15
JP-42,長崎県,127,2015-01-15
JP-43,熊本県,363,2015-01-15
JP-44,大分県,223,2015-01-15
JP-45,宮崎県,233,2015-01-15
JP-46,鹿児島県,204,2015-01-15
JP-47,沖縄県,832,2015-01-15
JP-01,北海道,2563,2015-02-12
JP-02,青森県,575,2015-02-12
JP-03,岩手県,29433,2015-02-12
JP-04,宮城県,70949,2015-02-12
JP-05,秋田県,1005,2015-02-12
JP-06,山形県,4398,2015-02-12
JP-07,福島県,72790,2015-02-12
JP-08,茨城県,4264,2015-02-12
JP-09,栃木県,2954,2015-02-12
JP-10,群馬県,1366,2015-02-12
JP-11,埼玉県,5638,2015-02-12
JP-12,千葉県,3512,2015-02-12
JP-13,東京都,7509,2015-02-12
JP-14,神奈川県,4174,2015-02-12
JP-15,新潟県,4089,2015-02-12
JP-16,富山県,251,2015-02-12
JP-17,石川県,314,2015-02-12
JP-18,福井県,248,2015-02-12
JP-19,山梨県,684,2015-02-12
JP-20,長野県,1059,2015-02-12
JP-21,岐阜県,305,2015-02-12
JP-22,静岡県,918,2015-02-12
JP-23,愛知県,1154,2015-02-12
JP-24,三重県,466,2015-02-12
JP-25,滋賀県,228,2015-02-12
JP-26,京都府,810,2015-02-12
JP-27,大阪府,854,2015-02-12
JP-28,兵庫県,889,2015-02-12
JP-29,奈良県,161,2015-02-12
JP-30,和歌山県,95,2015-02-12
JP-31,鳥取県,170,2015-02-12
JP-32,島根県,95,2015-02-12
JP-33,岡山県,1120,2015-02-12
JP-34,広島県,437,2015-02-12
JP-35,山口県,126,2015-02-12
JP-36,徳島県,66,2015-02-12
JP-37,香川県,95,2015-02-12
JP-38,愛媛県,183,2015-02-12
JP-39,高知県,84,2015-02-12
JP-40,福岡県,692,2015-02-12
JP-41,佐賀県,171,2015-02-12
JP-42,長崎県,125,2015-02-12
JP-43,熊本県,363,2015-02-12
JP-44,大分県,223,2015-02-12
JP-45,宮崎県,233,2015-02-12
JP-46,鹿児島県,202,2015-02-12
JP-47,沖縄県,823,2015-02-12
JP-01,北海道,2555,2015-03-12
JP-02,青森県,574,2015-03-12
JP-03,岩手県,28950,2015-03-12
JP-04,宮城県,69561,2015-03-12
JP-05,秋田県,996,2015-03-12
JP-06,山形県,4346,2015-03-12
JP-07,福島県,71399,2015-03-12
JP-08,茨城県,4244,2015-03-12
JP-09,栃木県,2947,2015-03-12
JP-10,群馬県,1347,2015-03-12
JP-11,埼玉県,5575,2015-03-12
JP-12,千葉県,3511,2015-03-12
JP-13,東京都,7434,2015-03-12
JP-14,神奈川県,4130,2015-03-12
JP-15,新潟県,4076,2015-03-12
JP-16,富山県,234,2015-03-12
JP-17,石川県,308,2015-03-12
JP-18,福井県,247,2015-03-12
JP-19,山梨県,683,2015-03-12
JP-20,長野県,1055,2015-03-12
JP-21,岐阜県,305,2015-03-12
JP-22,静岡県,910,2015-03-12
JP-23,愛知県,1137,2015-03-12
JP-24,三重県,465,2015-03-12
JP-25,滋賀県,225,2015-03-12
JP-26,京都府,808,2015-03-12
JP-27,大阪府,829,2015-03-12
JP-28,兵庫県,883,2015-03-12
JP-29,奈良県,161,2015-03-12
JP-30,和歌山県,94,2015-03-12
JP-31,鳥取県,171,2015-03-12
JP-32,島根県,90,2015-03-12
JP-33,岡山県,1120,2015-03-12
JP-34,広島県,437,2015-03-12
JP-35,山口県,122,2015-03-12
JP-36,徳島県,66,2015-03-12
JP-37,香川県,91,2015-03-12
JP-38,愛媛県,183,2015-03-12
JP-39,高知県,84,2015-03-12
JP-40,福岡県,695,2015-03-12
JP-41,佐賀県,171,2015-03-12
JP-42,長崎県,125,2015-03-12
JP-43,熊本県,361,2015-03-12
JP-44,大分県,223,2015-03-12
JP-45,宮崎県,231,2015-03-12
JP-46,鹿児島県,202,2015-03-12
JP-47,沖縄県,816,2015-03-12
JP-01,北海道,2537,2015-04-16
JP-02,青森県,539,2015-04-16
JP-03,岩手県,28482,2015-04-16
JP-04,宮城県,67510,2015-04-16
JP-05,秋田県,928,2015-04-16
JP-06,山形県,4204,2015-04-16
JP-07,福島県,69208,2015-04-16
JP-08,茨城県,4172,2015-04-16
JP-09,栃木県,2935,2015-04-16
JP-10,群馬県,1325,2015-04-16
JP-11,埼玉県,5508,2015-04-16
JP-12,千葉県,3539,2015-04-16
JP-13,東京都,7424,2015-04-16
JP-14,神奈川県,4002,2015-04-16
JP-15,新潟県,3963,2015-04-16
JP-16,富山県,227,2015-04-16
JP-17,石川県,300,2015-04-16
JP-18,福井県,244,2015-04-16
JP-19,山梨県,685,2015-04-16
JP-20,長野県,1042,2015-04-16
JP-21,岐阜県,270,2015-04-16
JP-22,静岡県,907,2015-04-16
JP-23,愛知県,1131,2015-04-16
JP-24,三重県,462,2015-04-16
JP-25,滋賀県,225,2015-04-16
JP-26,京都府,778,2015-04-16
JP-27,大阪府,829,2015-04-16
JP-28,兵庫県,875,2015-04-16
JP-29,奈良県,159,2015-04-16
JP-30,和歌山県,94,2015-04-16
JP-31,鳥取県,173,2015-04-16
JP-32,島根県,90,2015-04-16
JP-33,岡山県,1136,2015-04-16
JP-34,広島県,436,2015-04-16
JP-35,山口県,122,2015-04-16
JP-36,徳島県,66,2015-04-16
JP-37,香川県,88,2015-04-16
JP-38,愛媛県,180,2015-04-16
JP-39,高知県,84,2015-04-16
JP-40,福岡県,696,2015-04-16
JP-41,佐賀県,165,2015-04-16
JP-42,長崎県,124,2015-04-16
JP-43,熊本県,361,2015-04-16
JP-44,大分県,221,2015-04-16
JP-45,宮崎県,231,2015-04-16
JP-46,鹿児島県,193,2015-04-16
JP-47,沖縄県,748,2015-04-16
JP-01,北海道,2546,2015-05-14
JP-02,青森県,534,2015-05-14
JP-03,岩手県,27391,2015-05-14
JP-04,宮城県,63962,2015-05-14
JP-05,秋田県,901,2015-05-14
JP-06,山形県,3982,2015-05-14
JP-07,福島県,67004,2015-05-14
JP-08,茨城県,4026,2015-05-14
JP-09,栃木県,2930,2015-05-14
JP-10,群馬県,1298,2015-05-14
JP-11,埼玉県,5480,2015-05-14
JP-12,千葉県,3575,2015-05-14
JP-13,東京都,7403,2015-05-14
JP-14,神奈川県,3912,2015-05-14
JP-15,新潟県,3896,2015-05-14
JP-16,富山県,213,2015-05-14
JP-17,石川県,297,2015-05-14
JP-18,福井県,244,2015-05-14
JP-19,山梨県,685,2015-05-14
JP-20,長野県,1028,2015-05-14
JP-21,岐阜県,270,2015-05-14
JP-22,静岡県,907,2015-05-14
JP-23,愛知県,1120,2015-05-14
JP-24,三重県,448,2015-05-14
JP-25,滋賀県,209,2015-05-14
JP-26,京都府,746,2015-05-14
JP-27,大阪府,789,2015-05-14
JP-28,兵庫県,875,2015-05-14
JP-29,奈良県,156,2015-05-14
JP-30,和歌山県,94,2015-05-14
JP-31,鳥取県,154,2015-05-14
JP-32,島根県,93,2015-05-14
JP-33,岡山県,1130,2015-05-14
JP-34,広島県,419,2015-05-14
JP-35,山口県,120,2015-05-14
JP-36,徳島県,66,2015-05-14
JP-37,香川県,83,2015-05-14
JP-38,愛媛県,180,2015-05-14
JP-39,高知県,84,2015-05-14
JP-40,福岡県,696,2015-05-14
JP-41,佐賀県,165,2015-05-14
JP-42,長崎県,122,2015-05-14
JP-43,熊本県,361,2015-05-14
JP-44,大分県,224,2015-05-14
JP-45,宮崎県,232,2015-05-14
JP-46,鹿児島県,190,2015-05-14
JP-47,沖縄県,736,2015-05-14
JP-01,北海道,2524,2015-06-11
JP-02,青森県,525,2015-06-11
JP-03,岩手県,26673,2015-06-11
JP-04,宮城県,61816,2015-06-11
JP-05,秋田県,895,2015-06-11
JP-06,山形県,3901,2015-06-11
JP-07,福島県,65485,2015-06-11
JP-08,茨城県,3894,2015-06-11
JP-09,栃木県,2929,2015-06-11
JP-10,群馬県,1289,2015-06-11
JP-11,埼玉県,5452,2015-06-11
JP-12,千葉県,3555,2015-06-11
JP-13,東京都,7375,2015-06-11
JP-14,神奈川県,3885,2015-06-11
JP-15,新潟県,3827,2015-06-11
JP-16,富山県,216,2015-06-11
JP-17,石川県,296,2015-06-11
JP-18,福井県,244,2015-06-11
JP-19,山梨県,684,2015-06-11
JP-20,長野県,1028,2015-06-11
JP-21,岐阜県,270,2015-06-11
JP-22,静岡県,900,2015-06-11
JP-23,愛知県,1116,2015-06-11
JP-24,三重県,444,2015-06-11
JP-25,滋賀県,210,2015-06-11
JP-26,京都府,731,2015-06-11
JP-27,大阪府,783,2015-06-11
JP-28,兵庫県,877,2015-06-11
JP-29,奈良県,153,2015-06-11
JP-30,和歌山県,94,2015-06-11
JP-31,鳥取県,154,2015-06-11
JP-32,島根県,94,2015-06-11
JP-33,岡山県,1141,2015-06-11
JP-34,広島県,419,2015-06-11
JP-35,山口県,120,2015-06-11
JP-36,徳島県,66,2015-06-11
JP-37,香川県,83,2015-06-11
JP-38,愛媛県,180,2015-06-11
JP-39,高知県,84,2015-06-11
JP-40,福岡県,696,2015-06-11
JP-41,佐賀県,165,2015-06-11
JP-42,長崎県,122,2015-06-11
JP-43,熊本県,361,2015-06-11
JP-44,大分県,224,2015-06-11
JP-45,宮崎県,232,2015-06-11
JP-46,鹿児島県,190,2015-06-11
JP-47,沖縄県,730,2015-06-11
JP-01,北海道,2495,2015-07-16
JP-02,青森県,513,2015-07-16
JP-03,岩手県,26235,2015-07-16
JP-04,宮城県,59253,2015-07-16
JP-05,秋田県,889,2015-07-16
JP-06,山形県,3867,2015-07-16
JP-07,福島県,63988,2015-07-16
JP-08,茨城県,3936,2015-07-16
JP-09,栃木県,2930,2015-07-16
JP-10,群馬県,1280,2015-07-16
JP-11,埼玉県,5437,2015-07-16
JP-12,千葉県,3530,2015-07-16
JP-13,東京都,7341,2015-07-16
JP-14,神奈川県,3874,2015-07-16
JP-15,新潟県,3800,2015-07-16
JP-16,富山県,215,2015-07-16
JP-17,石川県,296,2015-07-16
JP-18,福井県,244,2015-07-16
JP-19,山梨県,690,2015-07-16
JP-20,長野県,1014,2015-07-16
JP-21,岐阜県,270,2015-07-16
JP-22,静岡県,898,2015-07-16
JP-23,愛知県,1111,2015-07-16
JP-24,三重県,444,2015-07-16
JP-25,滋賀県,210,2015-07-16
JP-26,京都府,731,2015-07-16
JP-27,大阪府,763,2015-07-16
JP-28,兵庫県,871,2015-07-16
JP-29,奈良県,153,2015-07-16
JP-30,和歌山県,94,2015-07-16
JP-31,鳥取県,154,2015-07-16
JP-32,島根県,96,2015-07-16
JP-33,岡山県,1139,2015-07-16
JP-34,広島県,420,2015-07-16
JP-35,山口県,117,2015-07-16
JP-36,徳島県,66,2015-07-16
JP-37,香川県,83,2015-07-16
JP-38,愛媛県,180,2015-07-16
JP-39,高知県,84,2015-07-16
JP-40,福岡県,698,2015-07-16
JP-41,佐賀県,160,2015-07-16
JP-42,長崎県,121,2015-07-16
JP-43,熊本県,361,2015-07-16
JP-44,大分県,213,2015-07-16
JP-45,宮崎県,232,2015-07-16
JP-46,鹿児島県,190,2015-07-16
JP-47,沖縄県,747,2015-07-16
